slide,image_offset,word_000,word_200,word_400,word_600,word_800,word_a00,word_c00,word_e00
0x000000,0x1f0000,0xf835013fd53cd04a,0xf90002e8f9407a68,0x1a9f07f8ea080129,0x14000006943d8e36,0xaa1503e1aa1603e0,0x340000a84a080128,0xf9000bf5a9bd7bfd,0x0a290108b94102a9
0x004000,0x1ec000,0xa90357f6a9025ff8,0x943d785cb5fff9c8,0x910003fda90157f6,0xf000b5c29407fd1e,0x943d9da2aa1803e1,0xeb09011ff94056a8,0xd503233f17ffffdb,0xf942f108d5384108
0x008000,0x1e8000,0xf90013f5910043fd,0xb90007e812b00008,0x9280043354000069,0xc8dffd299100c109,0x2a1f03e3910003fd,0x910f0000a9067e9f,0xf9400668943dacb6,0xf9408d4c8b090e8b
0x00c000,0x1e4000,0x97fec60052800033,0xf9000bf3a9be7bfd,0xf9800111d503249f,0x52800033b4000108,0xa9be7bfdd503233f,0x35ffff89c809fd02,0xaa0003e1c8dffd00,0x35ffffacc80c7d2d
0x010000,0x1e0000,0xd503201ff82b013f,0xaa1703e2aa1603e0,0x9a8a03e8eb09011f,0xa9067c5f2a0103f5,0x3600006839402a68,0x52800141aa0103e0,0x11000b482a0203f5,0xd50323bfa8c57bfd
0x014000,0x1dc000,0xb400059397ffff8a,0xaa0003f32a0103f5,0x7100215fb940954a,0x94000130b8008408,0xf8488ec8f9000379,0xa94757f6a9484ff4,0xeb0c017ff9402ecc,0xc8dffd29910082c9
0x018000,0x1d8000,0xf9000bf9a9bb7bfd,0xf9444d2990007ce9,0xf9445129f2401c0a,0xaa1403e29107fc21,0xa9be7bfdd503233f,0xaa1703e12a1603e0,0x3941200b91000508,0x91000508f9508e68
0x01c000,0x1d4000,0x97fdc26691240000,0x912e9d0891006289,0xb9400ac89100635a,0xb9400917c8dffec8,0xf940ae79910043eb,0x4b09014a54000dc1,0x3607f4489ac82528,0x912c42b5d2c0003b
0x020000,0x1d0000,0xeb00013fa9402109,0x7101311f394006c8,0xa9034ff4a90257f6,0x12800433910042e8,0xb9400915c8dffd08,0xf00113202a1f03f6,0xf8bfc108f8bfc2c8,0x5280056a54000188
0x024000,0x1cc000,0xd503233fd5184613,0x6b00011fb8696908,0xd0010df737000328,0x0a08016812800000,0x140000069117e294,0xaa1f03e452800023,0x9ad32508f8685928,0x97fcbe325a9f1121
0x028000,0x1c8000,0x36c7fae9f9432929,0xf85f03b51280fff9,0xd503201f3500008b,0x54000241eb08031f,0xeb08031fc8dfff08,0x17ffffdc5280140b,0x51000508b94ad368,0xd5182008d5033fdf
0x02c000,0x1c4000,0xaa0003f354000080,0xd503233f17fffff3,0xd50323bfa8c27bfd,0x94062be82a1f03e1,0x91009280f9401914,0x2a1f03e1f9402680,0xa8c17bfd94000c50,0x0a611d08f942f129
0x030000,0x1c0000,0xf829111f1400003d,0xf0010e36f9428f08,0x2a1f03e0d63f0100,0xd50323bfa8c47bfd,0xf9400100350000e9,0xd65f03c0d50323bf,0x540002017100041f,0xf8e91109aa1403e9
0x034000,0x1bc000,0x97ff65f7f9404816,0x1400002397fd98f6,0xd538410897ff64f8,0x97fffed6aa1303e0,0xf90006953607fd60,0xaa0b03e0c8ebfd42,0xb945b6c8b40001a8,0x4a800d00aa0103f4
0x038000,0x1b8000,0x943e3493d65f03c0,0xf9400af9aa1703e0,0xf8bfc328f8bfc348,0xaa0003e154fffd40,0xf9402288d63f0100,0xa9437bfda9444ff4,0xb9400815a902ffff,0xb40003a8f9402108
0x03c000,0x1b4000,0xf0012009f901752b,0x72a0002a528a300a,0x37000648b9402a6a,0x528847ea9b0a7d08,0x9b0afd2b52801f4a,0x5285a009a94123f4,0x53017c4d2a0303ec,0x540000c0eb13029f
0x040000,0x1b0000,0xf0010ec854000802,0x88dfff689100435b,0xa9017bfdd10183ff,0xf9400d08f9401a88,0xb900126811000508,0x97ffe576b9001308,0xa9412eecd63f0100,0x97fd8469aa1603e0
0x044000,0x1ac000,0xf85f83a9f942f108,0x9a890329720d037f,0xd42aa240d65f03c0,0xaa1403e08b090114,0x8b080009f2baf6ca,0xeb09011ff9400ec9,0x943e9cb5aa1303e0,0xf9400275b40004e8
0x048000,0x1a8000,0xd50323bf910443ff,0xd503233f943e7414,0x1100282a51000828,0x92993fe95400010d,0xd503233fd65f03c0,0xa9402809f81f83a9,0xf9001bf5910083fd,0xd53841089400202a
0x04c000,0x1a4000,0xf000b769f94002c8,0xf9400be5aa1a03e0,0xdac01129f13ffd1f,0xb50000a8f9475ac8,0xaa1303e0b000b161,0x54fffd036b19009f,0xb5000042aa0003e1,0xb90011a89b2b354d
0x050000,0x1a0000,0x91012009d503233f,0xf9400829c8dffd28,0xf940080836000208,0xf940012af9400429,0xd50323bf910143ff,0xd53b4228d65f03c0,0xd50323bf910183ff,0x540002c0b100067f
0x054000,0x19c000,0xb9008a7fb9008e7f,0xa94267faa9435ff8,0xd538d088f0010da9,0xf9403a96aa1403e0,0xaa1403e091220294,0xaa1403e054ffe882,0xf9475d43f9404521,0xf8bfc288f8bfc288
0x058000,0x198000,0x9ad42508f8685928,0xc8dffd28a901ffff,0xb9400be29100c929,0xf00114c8943eee23,0xd503201ff946e2e3,0xf8bfc128f8bfc108,0x1400005239020a9c,0xb94e2f2054000f82
0x05c000,0x194000,0xf9405b42b000b1f6,0x910198219000b481,0x910003fda9016ffc,0x927ef528f9404501,0xeb0802bf91070108,0xb90012c8f1000508,0x540007227100801f,0xaa1f03e2910003e0
0x060000,0x190000,0xf94095088b0802a8,0xb86969089138014a,0xf944c129f9450d08,0xa8c27bfdf9400bf3,0xf240081ff942f108,0xb4000268c8dffd08,0xb5ffede8c8dffee8,0xaa0003e394005e1a
0x064000,0x18c000,0xa9004e7ff940027b,0xd50323bfa8c17bfd,0x941a56a1b94fcad7,0x97ff77c991377400,0xd10032c9d11122c8,0xd5384108aa0003f3,0x9117e2d6b0010e55,0xd4210000d65f03c0
0x068000,0x188000,0xaa1f03e1aa1a03e0,0xa9055ff8910103fd,0xd503233ff8bfc308,0x2a0403f3d5384108,0xf9002bf7910103fd,0xa90557f6910103fd,0x943ef193d65f03c0,0xd50323bf9101c3ff
0x06c000,0x184000,0x52800d025281b801,0x52802488b40004c0,0x910003fda90157f6,0xb4000689f9401d09,0xa9444ff42a1703e0,0x1400003d372001a8,0xa90157f6a9bd7bfd,0xf94026a854000381
0x070000,0x180000,0x17fffffbd4210000,0x321e01083940e008,0x90011580f9000a74,0xa9025ff8910003fd,0xa8c57bfda94167fa,0x910301088b140ec8,0x340000a097ffff4e,0xb40008e0941ab090
0x074000,0x17c000,0xaa1303e252800401,0x2a0003f4a9024ff4,0xd503249fb9000275,0xf9000bf5a9bd7bfd,0x94192fe3aa1303e2,0xd50323bfa8c27bfd,0x912fd0632a0003f5,0xaa1303e252800401
0x078000,0x178000,0xd100c3ffd503233f,0x370000a097fff953,0xb40000e8f9401d08,0xaa1403e22a1503e1,0x54fffe817140811f,0xb4000275d63f0100,0xf9403408a9034ff4,0x52800022aa1603e0
0x07c000,0x174000,0xd65f03c0d50323bf,0xd50339bf54000441,0x2a0003e12a0003f3,0xb4000460941ae290,0x36280088f90007e9,0xb9400108f9402268,0x17ffff84b9008a68,0xaa1f03e12a1703e0
0x080000,0x170000,0x9bab554bb9000314,0xaa2a03f0b940312f,0x9ac92149b9400289,0x910003fda9bf7bfd,0x39400d08f9402008,0x910042d7d5384116,0x943f6a3a9139a000,0x91396000f00115e0
0x084000,0x16c000,0x3607eb1a3707eb3b,0xa900a7e812800001,0x35000100941b162e,0xd503233fd65f03c0,0x9117c8421a890106,0xa9075ff8a90667fa,0x910003fda9014ff4,0xf9400bf397fffb97
0x088000,0x168000,0x3900828852800028,0x97ffccfcaa0103f3,0x940c2dbb2a1403e1,0x94082e45aa1403e0,0x7100051f39770108,0xb940112aaa1503e9,0xf9001be7910083a9,0x9401207654000601
0x08c000,0x164000,0xd37ae508934cfd08,0xd000bae017ffffd0,0x940811612a0003f3,0x2a0803e0f0012169,0x2a0003f594081124,0x528198019000cd08,0x9135e042913f4421,0xaa1f03f472a00048
0x090000,0x160000,0xd503249f17fffff4,0x340004e0b94b6e80,0x911c50212a1f03e0,0xaa1303e252800141,0x910003fda9bf7bfd,0xaa0203e0f942f108,0x94000b089346fd21,0xeb1502dff8420eb6
0x094000,0x15c000,0x9129b0002a1703e2,0x941b57769109b421,0x350000809419732e,0x540000c1eb09011f,0xaa0203e0b000b7a1,0xaa1403e09000b482,0x120179089130a000,0xd503233f943fa114
0x098000,0x158000,0x92400829c8dffd01,0x370010a9f8e90289,0x9104012ac85f7e89,0x3708068bf940010b,0x927d656bd343fd4b,0xaa0a03e0c8ea7d22,0xb27e0022540007a5,0x97ff10ab910003e0
0x09c000,0x154000,0xa9bd7bfdd503233f,0xf8bfc308f8bfc118,0x2a1f03e0a9434ff4,0xf85f02c0f84186c8,0xf84186a8f941a515,0xb5ffff6891006294,0xf9435516aa0103f5,0xf85f02c0f84186c8
0x0a0000,0x150000,0x394052c934000289,0xf9401688f9002280,0xf940011612800000,0xb8bfc14bb8bfc108,0xd53cd04a17ffff9c,0xb9001a7f52800020,0xd503249fd61f0140,0xb828327f52800028
0x0a4000,0x14c000,0xb000b9a1940a7c22,0xf100029f9ad30a82,0xf9402aa3d000b742,0xeb18011f91004108,0x94007749aa1603e0,0x9000b5e1d00111e8,0xaa1303e0910c0c42,0xf9408288940a78a2
0x0a8000,0x148000,0xb4000308f94006e8,0x9408af45aa1603e0,0x9401224991075021,0x940087c9f901657f,0xf9400b489400874a,0xaa1f03e011000508,0x7100057f1a880128,0xd4210000d65f03c0
0x0ac000,0x144000,0xa9054ff4a90457f6,0xd5384108a9074ff4,0xa9054ff4f90023f5,0xc8dffee8aa0003f5,0xaa1303e0d5033bbf,0xaa1503e0f9000109,0xd50323bff2ec3908,0xf85f82602a1f03e2
0x0b0000,0x140000,0x940018d391016100,0xd503201f94002752,0x7100811fb94baa68,0x8b0901089126e129,0x97ff726c54000045,0xf945066836000080,0x941a206d14000003,0x94402285b5fffce8
0x0b4000,0x13c000,0x97ff846caa1303e0,0x2a1f03e2f9458e69,0xb0011408d503201f,0x2a0103f6aa0203f5,0xaa1f03e7aa1f03e6,0xb4000108b9074b29,0xb8418e80f943de94,0xf9000be9d65f03c0
0x0b8000,0x138000,0x52800028f9400be9,0x2a0003f9d0011288,0x8b09014954ffdee2,0x8b0a0108d378dd6b,0x1a9f37edeb16013f,0xf8bfc129f8bfc108,0xeb0a013f8b0a016a,0xa9427bfda9436ffc
0x0bc000,0x134000,0x39774108b0011348,0x927d654af80843eb,0xf9400be8d503249f,0xeb0b013f9acc096b,0xf9001a689a8833e8,0x8b1b018c9b1c7d4d,0xd103a2f854001ba8,0x1a9f07ecf110017f
0x0c0000,0x130000,0xa94367faa9445ff8,0xb0011129f00112d9,0x94090ec5f9407660,0x8b0a0108f900a820,0xd2802459d00112d4,0xd503233fd65f03c0,0x140000022a1f03e0,0x17ffffe1d4210000
