SLIDE,ERROR_COUNT,TOTAL_PATTERNS,ACCEPTED_PATTERNS,REJECTED_PATTERNS,MISIDENTIFIED_PATTERNS,WORST_MARGIN,VERDICT
0x000000,1,8,8,0,0,7,ROBUST
0x000000,2,28,28,0,0,6,ROBUST
0x000000,3,56,56,0,0,5,ROBUST
0x004000,1,8,8,0,0,6,ROBUST
0x004000,2,28,28,0,0,5,ROBUST
0x004000,3,56,56,0,0,4,ROBUST
0x008000,1,8,8,0,0,7,ROBUST
0x008000,2,28,28,0,0,6,ROBUST
0x008000,3,56,56,0,0,5,ROBUST
0x00c000,1,8,8,0,0,6,ROBUST
0x00c000,2,28,28,0,0,5,ROBUST
0x00c000,3,56,56,0,0,4,ROBUST
0x010000,1,8,8,0,0,7,ROBUST
0x010000,2,28,28,0,0,6,ROBUST
0x010000,3,56,56,0,0,5,ROBUST
0x014000,1,8,8,0,0,7,ROBUST
0x014000,2,28,28,0,0,6,ROBUST
0x014000,3,56,56,0,0,5,ROBUST
0x018000,1,8,8,0,0,6,ROBUST
0x018000,2,28,28,0,0,5,ROBUST
0x018000,3,56,56,0,0,4,ROBUST
0x01c000,1,8,8,0,0,7,ROBUST
0x01c000,2,28,28,0,0,6,ROBUST
0x01c000,3,56,56,0,0,5,ROBUST
0x020000,1,8,8,0,0,7,ROBUST
0x020000,2,28,28,0,0,6,ROBUST
0x020000,3,56,56,0,0,5,ROBUST
0x024000,1,8,8,0,0,7,ROBUST
0x024000,2,28,28,0,0,6,ROBUST
0x024000,3,56,56,0,0,5,ROBUST
0x028000,1,8,8,0,0,7,ROBUST
0x028000,2,28,28,0,0,6,ROBUST
0x028000,3,56,56,0,0,5,ROBUST
0x02c000,1,8,8,0,0,7,ROBUST
0x02c000,2,28,28,0,0,6,ROBUST
0x02c000,3,56,56,0,0,5,ROBUST
0x030000,1,8,8,0,0,6,ROBUST
0x030000,2,28,28,0,0,5,ROBUST
0x030000,3,56,56,0,0,4,ROBUST
0x034000,1,8,8,0,0,7,ROBUST
0x034000,2,28,28,0,0,6,ROBUST
0x034000,3,56,56,0,0,5,ROBUST
0x038000,1,8,8,0,0,7,ROBUST
0x038000,2,28,28,0,0,6,ROBUST
0x038000,3,56,56,0,0,5,ROBUST
0x03c000,1,8,8,0,0,7,ROBUST
0x03c000,2,28,28,0,0,6,ROBUST
0x03c000,3,56,56,0,0,5,ROBUST
0x040000,1,8,8,0,0,7,ROBUST
0x040000,2,28,28,0,0,6,ROBUST
0x040000,3,56,56,0,0,5,ROBUST
0x044000,1,8,8,0,0,7,ROBUST
0x044000,2,28,28,0,0,6,ROBUST
0x044000,3,56,56,0,0,5,ROBUST
0x048000,1,8,8,0,0,7,ROBUST
0x048000,2,28,28,0,0,6,ROBUST
0x048000,3,56,56,0,0,5,ROBUST
0x04c000,1,8,8,0,0,7,ROBUST
0x04c000,2,28,28,0,0,6,ROBUST
0x04c000,3,56,56,0,0,5,ROBUST
0x050000,1,8,8,0,0,7,ROBUST
0x050000,2,28,28,0,0,6,ROBUST
0x050000,3,56,56,0,0,5,ROBUST
0x054000,1,8,8,0,0,7,ROBUST
0x054000,2,28,28,0,0,6,ROBUST
0x054000,3,56,56,0,0,5,ROBUST
