SLIDE,WORD_INDEX,ZG3_VALUE,EZE4_VALUE,SAME
0x000000,0,0xf835013fd53cd04a,0xf835013fd53cd04a,YES
0x000000,1,0xf90002e8f9407a68,0xf90002e8f9407a68,YES
0x000000,2,0x1a9f07f8ea080129,0x1a9f07f8ea080129,YES
0x000000,3,0x14000006943d8e36,0x14000006943d8e36,YES
0x000000,4,0xaa1503e1aa1603e0,0xaa1503e1aa1603e0,YES
0x000000,5,0x340000a84a080128,0x340000a84a080128,YES
0x000000,6,0xf9000bf5a9bd7bfd,0xf9000bf5a9bd7bfd,YES
0x000000,7,0x0a290108b94102a9,0x0a290108b94102a9,YES
0x004000,0,0xa90357f6a9025ff8,0xa90357f6a9025ff8,YES
0x004000,1,0x943d785cb5fff9c8,0x943d785cb5fff9c8,YES
0x004000,2,0x910003fda90157f6,0x910003fda90157f6,YES
0x004000,3,0xf000b5c29407fd1e,0xf000b5c29407fd1e,YES
0x004000,4,0x943d9da2aa1803e1,0x943d9da2aa1803e1,YES
0x004000,5,0xeb09011ff94056a8,0xeb09011ff94056a8,YES
0x004000,6,0xd503233f17ffffdb,0xd503233f17ffffdb,YES
0x004000,7,0xf942f108d5384108,0xf942f108d5384108,YES
0x008000,0,0xf90013f5910043fd,0xf90013f5910043fd,YES
0x008000,1,0xb90007e812b00008,0xb90007e812b00008,YES
0x008000,2,0x9280043354000069,0x9280043354000069,YES
0x008000,3,0xc8dffd299100c109,0xc8dffd299100c109,YES
0x008000,4,0x2a1f03e3910003fd,0x2a1f03e3910003fd,YES
0x008000,5,0x910f0000a9067e9f,0x910f0000a9067e9f,YES
0x008000,6,0xf9400668943dacb6,0xf9400668943dacb6,YES
0x008000,7,0xf9408d4c8b090e8b,0xf9408d4c8b090e8b,YES
0x00c000,0,0x97fec60052800033,0x97fec60052800033,YES
0x00c000,1,0xf9000bf3a9be7bfd,0xf9000bf3a9be7bfd,YES
0x00c000,2,0xf9800111d503249f,0xf9800111d503249f,YES
0x00c000,3,0x52800033b4000108,0x52800033b4000108,YES
0x00c000,4,0xa9be7bfdd503233f,0xa9be7bfdd503233f,YES
0x00c000,5,0x35ffff89c809fd02,0x35ffff89c809fd02,YES
0x00c000,6,0xaa0003e1c8dffd00,0xaa0003e1c8dffd00,YES
0x00c000,7,0x35ffffacc80c7d2d,0x35ffffacc80c7d2d,YES
0x010000,0,0xd503201ff82b013f,0xd503201ff82b013f,YES
0x010000,1,0xaa1703e2aa1603e0,0xaa1703e2aa1603e0,YES
0x010000,2,0x9a8a03e8eb09011f,0x9a8a03e8eb09011f,YES
0x010000,3,0xa9067c5f2a0103f5,0xa9067c5f2a0103f5,YES
0x010000,4,0x3600006839402a68,0x3600006839402a68,YES
0x010000,5,0x52800141aa0103e0,0x52800141aa0103e0,YES
0x010000,6,0x11000b482a0203f5,0x11000b482a0203f5,YES
0x010000,7,0xd50323bfa8c57bfd,0xd50323bfa8c57bfd,YES
0x014000,0,0xb400059397ffff8a,0xb400059397ffff8a,YES
0x014000,1,0xaa0003f32a0103f5,0xaa0003f32a0103f5,YES
0x014000,2,0x7100215fb940954a,0x7100215fb940954a,YES
0x014000,3,0x94000130b8008408,0x94000130b8008408,YES
0x014000,4,0xf8488ec8f9000379,0xf8488ec8f9000379,YES
0x014000,5,0xa94757f6a9484ff4,0xa94757f6a9484ff4,YES
0x014000,6,0xeb0c017ff9402ecc,0xeb0c017ff9402ecc,YES
0x014000,7,0xc8dffd29910082c9,0xc8dffd29910082c9,YES
0x018000,0,0xf9000bf9a9bb7bfd,0xf9000bf9a9bb7bfd,YES
0x018000,1,0xf9444d2990007ce9,0xf9444d2990007ce9,YES
0x018000,2,0xf9445129f2401c0a,0xf9445129f2401c0a,YES
0x018000,3,0xaa1403e2910b5c21,0xaa1403e29107fc21,NO
0x018000,4,0xa9be7bfdd503233f,0xa9be7bfdd503233f,YES
0x018000,5,0xaa1703e12a1603e0,0xaa1703e12a1603e0,YES
0x018000,6,0x3941200b91000508,0x3941200b91000508,YES
0x018000,7,0x91000508f9508e68,0x91000508f9508e68,YES
0x01c000,0,0x97fdc26691240000,0x97fdc26691240000,YES
0x01c000,1,0x9131fd0891006289,0x912e9d0891006289,NO
0x01c000,2,0xb9400ac89100635a,0xb9400ac89100635a,YES
0x01c000,3,0xb9400917c8dffec8,0xb9400917c8dffec8,YES
0x01c000,4,0xf940ae79910043eb,0xf940ae79910043eb,YES
0x01c000,5,0x4b09014a54000dc1,0x4b09014a54000dc1,YES
0x01c000,6,0x3607f4489ac82528,0x3607f4489ac82528,YES
0x01c000,7,0x912c42b5d2c0003b,0x912c42b5d2c0003b,YES
0x020000,0,0xeb00013fa9402109,0xeb00013fa9402109,YES
0x020000,1,0x7101311f394006c8,0x7101311f394006c8,YES
0x020000,2,0xa9034ff4a90257f6,0xa9034ff4a90257f6,YES
0x020000,3,0x12800433910042e8,0x12800433910042e8,YES
0x020000,4,0xb9400915c8dffd08,0xb9400915c8dffd08,YES
0x020000,5,0xf00113202a1f03f6,0xf00113202a1f03f6,YES
0x020000,6,0xf8bfc108f8bfc2c8,0xf8bfc108f8bfc2c8,YES
0x020000,7,0x5280056a54000188,0x5280056a54000188,YES
0x024000,0,0xd503233fd5184613,0xd503233fd5184613,YES
0x024000,1,0x6b00011fb8696908,0x6b00011fb8696908,YES
0x024000,2,0xd0010df737000328,0xd0010df737000328,YES
0x024000,3,0x0a08016812800000,0x0a08016812800000,YES
0x024000,4,0x140000069117e294,0x140000069117e294,YES
0x024000,5,0xaa1f03e452800023,0xaa1f03e452800023,YES
0x024000,6,0x9ad32508f8685928,0x9ad32508f8685928,YES
0x024000,7,0x97fcbe325a9f1121,0x97fcbe325a9f1121,YES
0x028000,0,0x36c7fae9f9432929,0x36c7fae9f9432929,YES
0x028000,1,0xf85f03b51280fff9,0xf85f03b51280fff9,YES
0x028000,2,0xd503201f3500008b,0xd503201f3500008b,YES
0x028000,3,0x54000241eb08031f,0x54000241eb08031f,YES
0x028000,4,0xeb08031fc8dfff08,0xeb08031fc8dfff08,YES
0x028000,5,0x17ffffdc5280140b,0x17ffffdc5280140b,YES
0x028000,6,0x51000508b94ad368,0x51000508b94ad368,YES
0x028000,7,0xd5182008d5033fdf,0xd5182008d5033fdf,YES
0x02c000,0,0xaa0003f354000080,0xaa0003f354000080,YES
0x02c000,1,0xd503233f17fffff3,0xd503233f17fffff3,YES
0x02c000,2,0xd50323bfa8c27bfd,0xd50323bfa8c27bfd,YES
0x02c000,3,0x94062be82a1f03e1,0x94062be82a1f03e1,YES
0x02c000,4,0x91009280f9401914,0x91009280f9401914,YES
0x02c000,5,0x2a1f03e1f9402680,0x2a1f03e1f9402680,YES
0x02c000,6,0xa8c17bfd94000c50,0xa8c17bfd94000c50,YES
0x02c000,7,0x0a611d08f942f129,0x0a611d08f942f129,YES
0x030000,0,0xf829111f1400003d,0xf829111f1400003d,YES
0x030000,1,0xf0010e36f9428f08,0xf0010e36f9428f08,YES
0x030000,2,0x2a1f03e0d63f0100,0x2a1f03e0d63f0100,YES
0x030000,3,0xd50323bfa8c47bfd,0xd50323bfa8c47bfd,YES
0x030000,4,0xf9400100350000e9,0xf9400100350000e9,YES
0x030000,5,0xd65f03c0d50323bf,0xd65f03c0d50323bf,YES
